Ontology ID	In Subset
NCBITaxon:9689	Covid-19
NCBITaxon:452646	Covid-19
NCBITaxon:9973	Covid-19
NCBITaxon:9825	Covid-19
NCBITaxon:8930	Covid-19
NCBITaxon:9694	Covid-19
	
	
NCIT:C3833	Covid-19
NCIT:C28554	Covid-19
NCIT:C115935	Covid-19
NCIT:C49498	Covid-19
NCIT:C25269	Covid-19
	
	
NCIT:C25179	Covid-19
GENEPIO:0100045	Covid-19
GENEPIO:0100046	Covid-19
NCIT:C70909	Covid-19
GENEPIO:0100047	Covid-19
GENEPIO:0100048	Covid-19
NCIT:C173768	Covid-19
	
	
NCIT:C28554	Covid-19
NCIT:C25254	Covid-19
NCIT:C49498	Covid-19
NCIT:C30103	Covid-19
	
	
NCBITaxon:2697049	Covid-19
NCBITaxon:2709072	Covid-19
GENEPIO:0100000	Covid-19
	
	
GENEPIO:0100001	Covid-19
GENEPIO:0100002	Covid-19
GENEPIO:0100003	Covid-19
GENEPIO:0100004	Covid-19
	
	
GENEPIO:0100005	Covid-19
GENEPIO:0100006	Covid-19
GENEPIO:0100007	Covid-19
GENEPIO:0100008	Covid-19
GENEPIO:0100273	Covid-19
GENEPIO:0100274	Covid-19
GENEPIO:0100009	Covid-19
GENEPIO:0100010	Covid-19
GENEPIO:0100011	Covid-19
GENEPIO:0100012	Covid-19
GENEPIO:0100013	Covid-19
GENEPIO:0100275	Covid-19
GENEPIO:0100276	Covid-19
GENEPIO:0100014	Covid-19
GENEPIO:0100015	Covid-19
GENEPIO:0100016	Covid-19
GENEPIO:0100017	Covid-19
GENEPIO:0100018	Covid-19
GENEPIO:0100019	Covid-19
GENEPIO:0100020	Covid-19
GENEPIO:0100021	Covid-19
GENEPIO:0100022	Covid-19
GENEPIO:0100023	Covid-19
GENEPIO:0100024	Covid-19
GENEPIO:0100356	Covid-19
	
	
GENEPIO:0100039	Covid-19
GENEPIO:0100040	Covid-19
OBI:0600016	Covid-19
	
	
GENEPIO:0100041	Covid-19
BTO:0000195	Covid-19
BTO:0002750	Covid-19
GENEPIO:0100042	Covid-19
BTO:0002181	Covid-19
GENEPIO:0100043	Covid-19
BTO:0001950	Covid-19
CLO:0007330	Covid-19
BTO:0000836	Covid-19
BTO:0002924	Covid-19
BTO:0001865	Covid-19
BTO:0002909	Covid-19
BTO:0002035	Covid-19
BTO:0001444	Covid-19
BTO:0004755	Covid-19
GENEPIO:0100044	Covid-19
	
	
MONDO:0100096	Covid-19
	
	
GENEPIO:0100049	Covid-19
GENEPIO:0100050	Covid-19
GENEPIO:0100051	Covid-19
GENEPIO:0100052	Covid-19
GENEPIO:0100053	Covid-19
GENEPIO:0100054	Covid-19
GENEPIO:0100055	Covid-19
GENEPIO:0100056	Covid-19
GENEPIO:0100057	Covid-19
GENEPIO:0100058	Covid-19
GENEPIO:0100059	Covid-19
	
	
NCIT:C46110	Covid-19
NCIT:C46109	Covid-19
GSSO:000132	Covid-19
GSSO:004004	Covid-19
GSSO:004005	Covid-19
NCIT:C110959	Covid-19
	
	
GENEPIO:0100237	Covid-19
GENEPIO:0100240	Covid-19
GENEPIO:0100238	Covid-19
GENEPIO:0100239	Covid-19
	Covid-19
	Covid-19
	Covid-19
GENEPIO:0100241	Covid-19
GENEPIO:0100242	Covid-19
PCO:0000033	Covid-19
PCO:0000039	Covid-19
PCO:0000034	Covid-19
GENEPIO:0100243	Covid-19
GENEPIO:0100244	Covid-19
GENEPIO:0100245	Covid-19
PCO:0000035	Covid-19
PCO:0000037	Covid-19
PCO:0000038	Covid-19
	
	
	
GENEPIO:0100357	Covid-19
TRANS:0000001	Covid-19
GENEPIO:0100246	Covid-19
GENEPIO:0100247	Covid-19
GENEPIO:0100248	Covid-19
	
	
GENEPIO:0100249	Covid-19
OMRSE:00000058	Covid-19
OMRSE:00000030	Covid-19
NCIT:C25182	Covid-19
NCIT:C28293	Covid-19
GENEPIO:0100250	Covid-19
GENEPIO:0100251	Covid-19
GENEPIO:0100252	Covid-19
GENEPIO:0100253	Covid-19
GENEPIO:0100254	Covid-19
GENEPIO:0100255	Covid-19
	Covid-19
	Covid-19
GENEPIO:0100256	Covid-19
GENEPIO:0100257	Covid-19
GENEPIO:0100258	Covid-19
GENEPIO:0100259	Covid-19
GENEPIO:0100334	Covid-19
GENEPIO:0100262	Covid-19
OMRSE:00000014	Covid-19
GENEPIO:0100263	Covid-19
GENEPIO:0100264	Covid-19
OMRSE:00000013	Covid-19
GENEPIO:0100260	Covid-19
	Covid-19
GENEPIO:0100261	Covid-19
GENEPIO:0100354	Covid-19
GENEPIO:0100355	Covid-19
	Covid-19
	Covid-19
GENEPIO:0100265	Covid-19
OMRSE:00000001	Covid-19
GENEPIO:0100266	Covid-19
GENEPIO:0100267	Covid-19
GENEPIO:0100268	Covid-19
GENEPIO:0100269	Covid-19
GENEPIO:0100270	Covid-19
GENEPIO:0100271	Covid-19
GENEPIO:0100272	Covid-19
	Covid-19
	
	
ECTO:3000005	Covid-19
GENEPIO:0100184	Covid-19
GENEPIO:0100185	Covid-19
GENEPIO:0100186	Covid-19
GENEPIO:0100187	Covid-19
GENEPIO:0100188	Covid-19
GENEPIO:0100189	Covid-19
GENEPIO:0100190	Covid-19
ECTO:1000033	Covid-19
GENEPIO:0100191	Covid-19
GENEPIO:0100192	Covid-19
GENEPIO:0100193	Covid-19
GENEPIO:0100194	Covid-19
GENEPIO:0100195	Covid-19
GENEPIO:0100196	Covid-19
GENEPIO:0100197	Covid-19
ECTO:1000034	Covid-19
GENEPIO:0100198	Covid-19
GENEPIO:0100199	Covid-19
GENEPIO:0100200	Covid-19
GENEPIO:0100201	Covid-19
GENEPIO:0100202	Covid-19
GENEPIO:0100203	Covid-19
GENEPIO:0100204	Covid-19
GENEPIO:0100205	Covid-19
ECTO:1000035	Covid-19
GENEPIO:0100206	Covid-19
GENEPIO:0100207	Covid-19
GENEPIO:0100208	Covid-19
ECTO:1000036	Covid-19
GENEPIO:0100209	Covid-19
GENEPIO:0100210	Covid-19
GENEPIO:0100211	Covid-19
GENEPIO:0100212	Covid-19
GENEPIO:0100213	Covid-19
GENEPIO:0100214	Covid-19
GENEPIO:0100215	Covid-19
ECTO:1000037	Covid-19
GENEPIO:0100216	Covid-19
ECTO:5000009	Covid-19
GENEPIO:0100217	Covid-19
ECTO:6000030	Covid-19
GENEPIO:0100218	Covid-19
ECTO:5000008	Covid-19
GENEPIO:0100220	Covid-19
GENEPIO:0100221	Covid-19
GENEPIO:0100222	Covid-19
GENEPIO:0100223	Covid-19
ECTO:1000040	Covid-19
ECTO:1000041	Covid-19
GENEPIO:0100224	Covid-19
GENEPIO:0100225	Covid-19
GENEPIO:0100226	Covid-19
GENEPIO:0100227	Covid-19
GENEPIO:0100228	Covid-19
GENEPIO:0100229	Covid-19
GENEPIO:0100230	Covid-19
GENEPIO:0100231	Covid-19
GENEPIO:0100232	Covid-19
GENEPIO:0001118	Covid-19
GENEPIO:0001119	Covid-19
GENEPIO:0100235	Covid-19
	
	
GENEPIO:0100105	Covid-19
GENEPIO:0100106	Covid-19
GENEPIO:0100107	Covid-19
GENEPIO:0100108	Covid-19
GENEPIO:0100109	Covid-19
GENEPIO:0100110	Covid-19
GENEPIO:0100111	Covid-19
GENEPIO:0100112	Covid-19
GENEPIO:0100113	Covid-19
GENEPIO:0100114	Covid-19
GENEPIO:0100115	Covid-19
GENEPIO:0100116	Covid-19
GENEPIO:0100117	Covid-19
GENEPIO:0100118	Covid-19
GENEPIO:0100119	Covid-19
GENEPIO:0100120	Covid-19
GENEPIO:0100121	Covid-19
GENEPIO:0100122	Covid-19
GENEPIO:0100123	Covid-19
GENEPIO:0100124	Covid-19
GENEPIO:0100125	Covid-19
GENEPIO:0100126	Covid-19
GENEPIO:0100127	Covid-19
GENEPIO:0100128	Covid-19
GENEPIO:0100129	Covid-19
GENEPIO:0100130	Covid-19
GENEPIO:0100131	Covid-19
GENEPIO:0100132	Covid-19
GENEPIO:0100133	Covid-19
GENEPIO:0100134	Covid-19
GENEPIO:0100135	Covid-19
GENEPIO:0100136	Covid-19
GENEPIO:0100137	Covid-19
GENEPIO:0100138	Covid-19
GENEPIO:0100139	Covid-19
GENEPIO:0100140	Covid-19
GENEPIO:0100141	Covid-19
GENEPIO:0100142	Covid-19
GENEPIO:0100143	Covid-19
GENEPIO:0100144	Covid-19
GENEPIO:0100145	Covid-19
GENEPIO:0100146	Covid-19
GENEPIO:0100147	Covid-19
GENEPIO:0100148	Covid-19
GENEPIO:0100149	Covid-19
GENEPIO:0100150	Covid-19
	
	
GENEPIO:0100151	Covid-19
GENEPIO:0100152	Covid-19
GENEPIO:0100153	Covid-19
GENEPIO:0100154	Covid-19
GENEPIO:0100155	Covid-19
GENEPIO:0100156	Covid-19
GENEPIO:0100157	Covid-19
GENEPIO:0100158	Covid-19
GENEPIO:0100159	Covid-19
GENEPIO:0100160	Covid-19
GENEPIO:0100161	Covid-19
GENEPIO:0100162	Covid-19
GENEPIO:0100163	Covid-19
GENEPIO:0100164	Covid-19
GENEPIO:0100165	Covid-19
GENEPIO:0100166	Covid-19
GENEPIO:0100167	Covid-19
GENEPIO:0100168	Covid-19
GENEPIO:0100169	Covid-19
GENEPIO:0100170	Covid-19
GENEPIO:0100171	Covid-19
GENEPIO:0100172	Covid-19
GENEPIO:0100173	Covid-19
GENEPIO:0100174	Covid-19
GENEPIO:0100175	Covid-19
GENEPIO:0100176	Covid-19
GENEPIO:0100177	Covid-19
GENEPIO:0100178	Covid-19
GENEPIO:0100179	Covid-19
GENEPIO:0100180	Covid-19
GENEPIO:0100181	Covid-19
GENEPIO:0100182	Covid-19
GENEPIO:0100183	Covid-19
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
GAZ:00006882	Covid-19
GAZ:00002953	Covid-19
GAZ:00000563	Covid-19
GAZ:00003957	Covid-19
GAZ:00002948	Covid-19
GAZ:00001095	Covid-19
GAZ:00009159	Covid-19
GAZ:00000462	Covid-19
GAZ:00006883	Covid-19
GAZ:00002928	Covid-19
GAZ:00004094	Covid-19
GAZ:00004025	Covid-19
GAZ:00005901	Covid-19
GAZ:00000463	Covid-19
